iter	Passed	Remaining
1065	180625	73538
1066	180806	73373
1067	180983	73206
1068	181179	73048
1069	181366	72885
1070	181563	72727
1071	181724	72554
1072	181894	72384
1073	182084	72223
1074	182264	72057
1075	182450	71894
1076	182634	71731
1077	182835	71573
1078	183013	71407
1079	183177	71235
1080	183339	71063
1081	183490	70886
1082	183648	70712
1083	183813	70541
1084	183986	70372
1085	184181	70212
1086	184363	70047
1087	184570	69892
1088	184755	69728
1089	184925	69559
1090	185085	69385
1091	185246	69213
1092	185411	69041
1093	185576	68870
1094	185740	68698
1095	185903	68526
1096	186062	68352
1097	186222	68179
1098	186391	68010
1099	186564	67841
1100	186732	67671
1101	186897	67500
1102	187068	67330
1103	187252	67166
1104	187426	66998
1105	187602	66831
1106	187787	66667
1107	187972	66503
1108	188181	66347
1109	188369	66183
1110	188550	66018
1111	188703	65842
1112	188880	65675
1113	189048	65505
1114	189212	65333
1115	189380	65163
1116	189535	64988
1117	189693	64814
1118	189865	64646
1119	190035	64476
1120	190207	64307
1121	190373	64136
1122	190540	63965
1123	190717	63798
1124	190895	63631
1125	191079	63466
1126	191262	63301
1127	191455	63139
1128	191646	62976
1129	191829	62811
1130	192001	62642
1131	192165	62470
1132	192354	62307
1133	192538	62142
1134	192731	61979
1135	192915	61814
1136	193095	61648
1137	193285	61484
1138	193475	61321
1139	193644	61150
1140	193821	60983
1141	194004	60817
1142	194186	60651
1143	194384	60490
1144	194568	60324
1145	194751	60158
1146	194932	59992
1147	195122	59828
1148	195286	59656
1149	195453	59485
1150	195626	59316
1151	195811	59151
1152	195996	58985
1153	196190	58823
1154	196386	58660
1155	196573	58495
1156	196762	58331
1157	196935	58162
1158	197099	57990
1159	197264	57818
1160	197428	57647
1161	197598	57477
1162	197777	57309
1163	197947	57139
1164	198116	56969
1165	198295	56801
1166	198465	56631
1167	198648	56465
1168	198818	56294
1169	198975	56121
1170	199136	55948
1171	199296	55775
1172	199456	55602
1173	199614	55429
1174	199766	55254
1175	199929	55082
1176	200119	54918
1177	200317	54755
1178	200498	54588
1179	200661	54416
1180	200840	54249
1181	201039	54086
1182	201228	53921
1183	201413	53755
1184	201601	53590
1185	201816	53432
1186	201990	53262
1187	202178	53097
1188	202339	52924
1189	202498	52751
1190	202662	52579
1191	202823	52407
1192	202981	52234
1193	203141	52061
1194	203304	51889
1195	203472	51718
1196	203641	51548
1197	203809	51377
1198	203990	51210
1199	204163	51040
1200	204351	50875
1201	204537	50709
1202	204718	50541
1203	204917	50378
1204	205101	50211
1205	205286	50044
1206	205467	49877
1207	205647	49709
1208	205822	49540
1209	205980	49367
1210	206137	49193
1211	206295	49020
1212	206456	48848
1213	206620	48676
1214	206788	48506
1215	206960	48336
1216	207133	48166
1217	207301	47995
1218	207458	47822
1219	207614	47649
1220	207773	47476
1221	207937	47304
1222	208098	47132
1223	208266	46962
1224	208436	46791
1225	208609	46622
1226	208772	46450
1227	208949	46281
1228	209131	46114
1229	209307	45945
1230	209478	45775
1231	209660	45607
1232	209848	45441
1233	210012	45270
1234	210170	45097
1235	210338	44926
1236	210510	44756
1237	210667	44584
1238	210822	44410
